epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.03,1.03471,2.75427,1.33207,0.61444,0.61871,0.64123,0.4943,0.80628,1.52115,1.18246,0.00333139,0.00333139,0.00333139
2,205.29,1.03677,2.02694,1.30727,0.67846,0.60261,0.66945,0.49038,0.94459,1.51147,1.29528,0.00653276,0.00653276,0.00653276
3,306.574,1.10958,1.95085,1.35752,0.71203,0.59366,0.6827,0.47331,1.06575,1.54028,1.36679,0.00960213,0.00960213,0.00960213
4,407.989,1.15585,1.85038,1.38928,0.7566,0.65496,0.7342,0.5563,0.87508,1.31684,1.26181,0.009406,0.009406,0.009406
5,507.89,1.08965,1.64425,1.33907,0.80352,0.72151,0.80684,0.62607,0.83647,1.01206,1.19823,0.009208,0.009208,0.009208
6,606.262,1.0398,1.48291,1.30433,0.82588,0.71835,0.8328,0.65686,0.76984,0.9646,1.16807,0.00901,0.00901,0.00901
7,704.079,1.00207,1.39322,1.27554,0.83098,0.74721,0.84455,0.68232,0.71473,0.87442,1.12244,0.008812,0.008812,0.008812
8,802.386,0.97219,1.30594,1.25777,0.87018,0.78864,0.87393,0.71034,0.6907,0.78122,1.1043,0.008614,0.008614,0.008614
9,901.609,0.94676,1.24837,1.24288,0.87081,0.81243,0.89516,0.73204,0.68696,0.73222,1.09874,0.008416,0.008416,0.008416
10,1001.83,0.9218,1.18659,1.22499,0.87102,0.81904,0.8934,0.74128,0.64112,0.69301,1.06949,0.008218,0.008218,0.008218
11,1100.17,0.89545,1.13288,1.20595,0.89586,0.81761,0.90379,0.7546,0.6349,0.68179,1.04923,0.00802,0.00802,0.00802
12,1199.71,0.88154,1.08719,1.19759,0.90115,0.82031,0.90368,0.76102,0.60978,0.66081,1.04643,0.007822,0.007822,0.007822
13,1298.78,0.86869,1.05804,1.19035,0.9069,0.82317,0.91601,0.7737,0.60965,0.62101,1.04367,0.007624,0.007624,0.007624
